"","Time","Sl_No.","UPI_Beneficiary_Bank","Total_Volume","Approved_Amt","BD_Amt","TD_Amt","DeemedApproved_Amt"
"65","""Sept 21""",15,"Central Bank Of India",45.3,44.66127,0.38958,0.06795,0.1812
"66","""Sept 21""",16,"Airtel Payments Bank",41.4,39.96342,1.14264,0.2277,0.06624
"67","""Sept 21""",17,"Indusind Bank",37.29,36.626238,0.305778,0.145431,0.212553
"68","""Sept 21""",18,"Idbi Bank Limited",32.88,32.5512,0.259752,0.04932,0.019728
"69","""Sept 21""",19,"Indian Overseas Bank",27.06,26.510682,0.143418,0.303072,0.102828
"70","""Sept 21""",20,"Bank Of Maharashtra",24.56,23.852672,0.164552,0.46664,0.076136
"71","""Sept 21""",21,"Uco Bank",22.69,21.721137,0.235976,0.528677,0.20421
"72","""Sept 21""",22,"Karnataka Bank",20,18.434,0.178,0.888,0.5
"73","""Sept 21""",23,"Karur Vysya Bank",16.07,15.880374,0.118918,0.04821,0.022498
"74","""Sept 21""",24,"India Post Payment Bank",13.46,13.124846,0.07403,0.209976,0.051148
"75","""Sept 21""",25,"Idfc First Bank",13.41,13.192758,0.156897,0.034866,0.025479
"76","""Sept 21""",26,"Bandhan Bank",11.01,9.6888,0.090282,1.16706,0.053949
"77","""Sept 21""",27,"South Indian Bank",10.84,10.653552,0.165852,0.018428,0.002168
"78","""Sept 21""",28,"City Union Bank",7.87,7.703156,0.14166,0.019675,0.005509
"79","""Sept 21""",29,"Au Small Finance Bank",6.82,6.755892,0.04774,0.008866,0.007502
"80","""Sept 21""",30,"Citibank",6.45,6.22554,0,0.00516,0.2193
"81","""Sept 21""",31,"Tamilnad Mercantile Bank",5.91,5.479752,0.081558,0.298455,0.050235
"82","""Sept 21""",32,"Fino Payments Bank",5.9,5.5873,0.2478,0.06254,0.00236
"83","""Sept 21""",33,"Ujjivan Small Finance Bank",5.83,5.705821,0.040227,0.048972,0.03498
"84","""Sept 21""",34,"Dbs Bank India Limited",5.71,5.436491,0.25695,0.007423,0.009136
"85","""Sept 21""",35,"Andhra Pradesh Grameena Vikas Bank",5.1,5.01738,0.01275,0.04437,0.0255
"86","""Sept 21""",36,"Pragathi Krishna Gramin Bank",5.04,4.9014,0.021672,0.0756,0.041328
"87","""Sept 21""",37,"Equitas Small Finance Bank",4.98,4.8306,0.066732,0.05229,0.030378
"88","""Sept 21""",38,"Saraswat Bank",4.22,4.157544,0.035026,0.019834,0.007596
"89","""Sept 21""",39,"Punjab And Sind Bank",4,3.648,0.0224,0.1672,0.1624
"90","""Sept 21""",40,"Maharashtra Gramin Bank",3.9,3.85164,0.02106,0.01638,0.01092
"91","""Sept 21""",41,"Rbl Bank",3.66,3.318522,0.310368,0.016104,0.015006
"92","""Sept 21""",42,"Kerala Gramin Bank",3.52,3.418976,0.015136,0.071808,0.01408
"93","""Sept 21""",43,"Andhra Pragathi Grameena Bank",3.14,3.049254,0.01884,0.035168,0.036738
"94","""Sept 21""",44,"Rajasthan Marudhara Gramin Bank",3.09,3.035616,0.011742,0.018231,0.024411
"95","""Sept 21""",45,"Esaf Small Finance Bank Ltd.",3,2.9199,0.0159,0.0597,0.0045
"96","""Sept 21""",46,"Standard Chartered",2.92,2.7959,0.053144,0.067452,0.003504
