"","Time","Sl_No.","UPI_Beneficiary_Bank","Total_Volume","Approved_Amt","BD_Amt","TD_Amt","DeemedApproved_Amt"
"280","""Jan 22""",30,"Fino Payments Bank",9.41,8.900919,0.333114,0.170321,0.005646
"281","""Jan 22""",31,"City Union Bank",9.21,8.8416,0.122493,0.221961,0.023946
"282","""Jan 22""",32,"Dbs Bank India Limited",8.68,8.300684,0.298592,0.05642,0.023436
"283","""Jan 22""",33,"Equitas Small Finance Bank",7.12,6.965496,0.098256,0.047704,0.008544
"284","""Jan 22""",34,"Ujjivan Small Finance Bank",7.12,6.927048,0.036312,0.086864,0.069776
"285","""Jan 22""",35,"Tamilnad Mercantile Bank",7.03,6.930877,0.044992,0.026714,0.027417
"286","""Jan 22""",36,"Pragathi Krishna Gramin Bank",6.4,6.34176,0.01984,0.01216,0.02624
"287","""Jan 22""",37,"Andhra Pradesh Grameena Vikas Bank",6.04,5.474052,0.009664,0.3775,0.178784
"288","""Jan 22""",38,"Maharashtra Gramin Bank",5.52,5.372064,0.019872,0.07452,0.053544
"289","""Jan 22""",39,"Punjab And Sind Bank",5.22,5.17041,0.030798,0.015138,0.004176
"290","""Jan 22""",40,"Saraswat Bank",4.93,4.879221,0.033524,0.011832,0.005423
"291","""Jan 22""",41,"Kerala Gramin Bank",4.88,4.849256,0.017568,0.005856,0.00732
"292","""Jan 22""",42,"Rbl Bank",4.34,4.199384,0.13671,0.00217,0.00217
"293","""Jan 22""",43,"Rajasthan Marudhara Gramin Bank",4.27,3.955728,0.015372,0.177632,0.120841
"294","""Jan 22""",44,"Esaf Small Finance Bank Ltd.",4.22,4.058374,0.016036,0.137572,0.00844
"295","""Jan 22""",45,"Andhra Pragathi Grameena Bank",4.12,3.906584,0.011948,0.105884,0.095172
"296","""Jan 22""",46,"Jammu And Kashmir Bank",4.05,3.931335,0.070065,0.04455,0.004455
"297","""Jan 22""",47,"Sarva Haryana Gramin Bank",3.47,3.043537,0.035394,0.3817,0.008675
"298","""Jan 22""",48,"Baroda Rajasthan Kshetriya Gramin Bank",3.43,3.297259,0.07203,0.0343,0.026411
"299","""Jan 22""",49,"Karnataka Vikas Grameena Bank",3.14,3.048626,0.027632,0.032656,0.031086
"300","""Jan 22""",50,"Standard Chartered",3.05,2.922815,0.081435,0.037515,0.00854
"301","""Feb 22""",1,"Paytm Payments Bank",980.72,977.875912,2.647944,0.098072,0.098072
"302","""Feb 22""",2,"State Bank Of India",618.15,604.79796,2.287155,8.15958,2.905305
"303","""Feb 22""",3,"Yes Bank Ltd",583.5,582.85815,0.52515,0.05835,0.05835
"304","""Feb 22""",4,"Axis Bank Ltd",338.97,337.749708,0.779631,0.101691,0.33897
"305","""Feb 22""",5,"Icici Bank",291.95,288.56338,2.715135,0.496315,0.204365
"306","""Feb 22""",6,"Hdfc Bank Ltd",238.45,235.469375,2.67064,0.14307,0.19076
"307","""Feb 22""",7,"Bank Of Baroda",160.4,158.69976,0.62556,0.62556,0.44912
"308","""Feb 22""",8,"Union Bank Of India",154.66,153.051536,0.726902,0.340252,0.525844
"309","""Feb 22""",9,"Canara Bank",121.04,119.938536,0.956216,0.072624,0.084728
"310","""Feb 22""",10,"Punjab National Bank",112.52,110.562152,0.652616,0.978924,0.326308
"311","""Feb 22""",11,"Bank Of India",95.11,93.464597,0.418484,0.779902,0.456528
"312","""Feb 22""",12,"Federal Bank",93.08,92.670448,0.214084,0.13962,0.055848
"313","""Feb 22""",13,"Kotak Mahindra Bank",92.4,90.80148,0.693,0.11088,0.7854
"314","""Feb 22""",14,"Indian Bank",62.84,56.725668,2.808948,2.205684,1.0997
"315","""Feb 22""",15,"Airtel Payments Bank",51.15,50.428785,0.37851,0.2046,0.138105
"316","""Feb 22""",16,"Central Bank Of India",51.07,50.140526,0.352383,0.183852,0.393239
"317","""Feb 22""",17,"Indusind Bank",43.7,43.24989,0.19665,0.10488,0.14421
"318","""Feb 22""",18,"Idbi Bank Limited",37.88,37.607264,0.215916,0.03788,0.01894
"319","""Feb 22""",19,"Indian Overseas Bank",33.13,32.792074,0.145772,0.069573,0.122581
"320","""Feb 22""",20,"Bank Of Maharashtra",29.8,29.46326,0.0894,0.19668,0.05066
"321","""Feb 22""",21,"Uco Bank",28.27,27.908144,0.14135,0.11308,0.104599
"322","""Feb 22""",22,"Karnataka Bank",24.19,23.771513,0.171749,0.162073,0.084665
"323","""Feb 22""",23,"India Post Payment Bank",23.37,22.942329,0.09348,0.245385,0.088806
"324","""Feb 22""",24,"Karur Vysya Bank",18.61,18.459259,0.085606,0.040942,0.024193
"325","""Feb 22""",25,"Idfc First Bank",18,17.7156,0.1584,0.099,0.0288
"326","""Feb 22""",26,"South Indian Bank",13.61,13.526979,0.059884,0.020415,0.001361
"327","""Feb 22""",27,"Bandhan Bank",13.22,13.013768,0.08593,0.108404,0.011898
"328","""Feb 22""",28,"Citibank",11.19,11.116146,0.071616,0.002238,0
"329","""Feb 22""",29,"Fino Payments Bank",9.9,9.41886,0.26235,0.21186,0.00693
"330","""Feb 22""",30,"Au Small Finance Bank",9.8,9.58048,0.20188,0.00588,0.01176
"331","""Feb 22""",31,"City Union Bank",9.09,8.923653,0.106353,0.050904,0.009999
"332","""Feb 22""",32,"Dbs Bank India Limited",8.21,8.064683,0.124792,0.013136,0.007389
"333","""Feb 22""",33,"Equitas Small Finance Bank",7.27,7.115149,0.073427,0.063249,0.017448
"334","""Feb 22""",34,"Tamilnad Mercantile Bank",7.2,7.10496,0.04824,0.018,0.02808
"335","""Feb 22""",35,"Ujjivan Small Finance Bank",7.03,6.796604,0.029526,0.108262,0.095608
"336","""Feb 22""",36,"Pragathi Krishna Gramin Bank",6.42,6.264636,0.019902,0.081534,0.05457
"337","""Feb 22""",37,"Andhra Pradesh Grameena Vikas Bank",5.9,5.73185,0.0118,0.11977,0.03717
"338","""Feb 22""",38,"Maharashtra Gramin Bank",5.49,5.014017,0.012078,0.434808,0.029097
"339","""Feb 22""",39,"Punjab And Sind Bank",5.26,4.98648,0.02104,0.214082,0.038398
"340","""Feb 22""",40,"Kerala Gramin Bank",4.83,4.774455,0.014007,0.027048,0.01449
"341","""Feb 22""",41,"Saraswat Bank",4.66,4.588702,0.015378,0.037746,0.01864
"342","""Feb 22""",42,"Rajasthan Marudhara Gramin Bank",4.2,4.04586,0.01134,0.06888,0.07392
"343","""Feb 22""",43,"Jammu And Kashmir Bank",4.13,3.945389,0.071036,0.093751,0.019824
"344","""Feb 22""",44,"Rbl Bank",4.11,4.008894,0.082611,0.010275,0.00822
"345","""Feb 22""",45,"Esaf Small Finance Bank Ltd.",4.11,4.029033,0.013563,0.062472,0.004521
"346","""Feb 22""",46,"Andhra Pragathi Grameena Bank",4.04,3.823052,0.057772,0.08686,0.072316
"347","""Feb 22""",47,"Baroda Rajasthan Kshetriya Gramin Bank",3.53,3.164645,0.067776,0.198739,0.099193
"348","""Feb 22""",48,"Sarva Haryana Gramin Bank",3.44,3.01344,0.039216,0.36808,0.018232
"349","""Feb 22""",49,"Baroda Up Gramin Bank",3.2,2.80992,0.1936,0.14912,0.04736
"350","""Feb 22""",50,"Karnataka Vikas Grameena Bank",3.03,2.930313,0.006969,0.065448,0.026967
"351","""Mar 22""",1,"Paytm Payments Bank",1210.84,1207.691816,3.0271,0,0
"352","""Mar 22""",2,"State Bank Of India",737.53,730.375959,2.581355,3.245132,1.327554
"353","""Mar 22""",3,"Yes Bank Ltd",678.13,676.163423,1.491886,0.339065,0.203439
"354","""Mar 22""",4,"Axis Bank Ltd",413.31,409.920858,2.355867,0.082662,0.950613
"355","""Mar 22""",5,"Icici Bank",291.67,288.694966,2.012523,0.758342,0.175002
"356","""Mar 22""",6,"Hdfc Bank Ltd",275.06,272.061846,2.530552,0.082518,0.385084
"357","""Mar 22""",7,"Bank Of Baroda",191.67,189.7533,0.920016,0.76668,0.230004
"358","""Mar 22""",8,"Union Bank Of India",179.59,177.165535,0.610606,1.490597,0.323262
"359","""Mar 22""",9,"Canara Bank",142.52,139.755112,0.983388,1.040396,0.741104
"360","""Mar 22""",10,"Punjab National Bank",133.47,131.361174,0.734085,1.094454,0.280287
"361","""Mar 22""",11,"Kotak Mahindra Bank",115.13,113.034634,0.771371,0.253286,1.059196
"362","""Mar 22""",12,"Bank Of India",112.56,111.839616,0.360192,0.202608,0.157584
"363","""Mar 22""",13,"Federal Bank",112.07,111.778618,0.268968,0.022414,0
"364","""Mar 22""",14,"Indian Bank",69.66,65.65455,2.215188,0.884682,0.90558
"365","""Mar 22""",15,"Airtel Payments Bank",60.14,59.249928,0.288672,0.475106,0.12028
"366","""Mar 22""",16,"Central Bank Of India",59.12,57.860744,0.378368,0.342896,0.53208
"367","""Mar 22""",17,"Indusind Bank",51.42,50.653842,0.46278,0.17997,0.123408
"368","""Mar 22""",18,"Idbi Bank Limited",43.89,43.569603,0.232617,0.035112,0.048279
"369","""Mar 22""",19,"Indian Overseas Bank",39.2,38.71,0.14504,0.24304,0.10192
"370","""Mar 22""",20,"Bank Of Maharashtra",34.89,34.57599,0.097692,0.150027,0.066291
"371","""Mar 22""",21,"Uco Bank",33.57,32.821389,0.144351,0.449838,0.154422
"372","""Mar 22""",22,"India Post Payment Bank",29.42,29.175814,0.111796,0.067666,0.064724
"373","""Mar 22""",23,"Karnataka Bank",28.48,28.027168,0.262016,0.108224,0.082592
"374","""Mar 22""",24,"Karur Vysya Bank",21.84,21.639072,0.096096,0.06552,0.039312
"375","""Mar 22""",25,"Idfc First Bank",20.88,20.527128,0.190008,0.045936,0.116928
"376","""Mar 22""",26,"South Indian Bank",16.17,16.060044,0.066297,0.040425,0.004851
"377","""Mar 22""",27,"Bandhan Bank",15.71,15.19157,0.09426,0.37704,0.04713
"378","""Mar 22""",28,"Fino Payments Bank",12.2,11.43628,0.27816,0.46848,0.0183
"379","""Mar 22""",29,"Citibank",12.09,11.989653,0.082212,0.003627,0.014508
"380","""Mar 22""",30,"Au Small Finance Bank",11.83,11.580387,0.225953,0.009464,0.014196
"381","""Mar 22""",31,"City Union Bank",10.64,10.417624,0.113848,0.093632,0.01596
"382","""Mar 22""",32,"Dbs Bank India Limited",9.56,9.073396,0.123324,0.352764,0.00956
"383","""Mar 22""",33,"Tamilnad Mercantile Bank",8.68,8.603616,0.036456,0.023436,0.016492
"384","""Mar 22""",34,"Equitas Small Finance Bank",8.53,8.03526,0.145863,0.302815,0.046062
"385","""Mar 22""",35,"Ujjivan Small Finance Bank",8.47,8.371748,0.032186,0.027104,0.038962
"386","""Mar 22""",36,"Pragathi Krishna Gramin Bank",7.55,7.437505,0.02265,0.03775,0.052095
"387","""Mar 22""",37,"Andhra Pradesh Grameena Vikas Bank",6.99,6.681741,0.008388,0.203409,0.096462
"388","""Mar 22""",38,"Punjab And Sind Bank",6.67,6.617307,0.024012,0.018676,0.010005
"389","""Mar 22""",39,"Maharashtra Gramin Bank",6.28,6.224736,0.0157,0.025748,0.013816
"390","""Mar 22""",40,"Kerala Gramin Bank",5.65,5.62288,0.01582,0.00226,0.009605
"391","""Mar 22""",41,"Saraswat Bank",5.43,5.398506,0.014661,0.014118,0.002715
"392","""Mar 22""",42,"Jammu And Kashmir Bank",5.29,5.010159,0.115322,0.151823,0.012696
"393","""Mar 22""",43,"Rajasthan Marudhara Gramin Bank",5.15,4.28377,0.12875,0.5562,0.18025
"394","""Mar 22""",44,"Rbl Bank",5.13,4.934034,0.187245,0.004617,0.004104
"395","""Mar 22""",45,"Esaf Small Finance Bank Ltd.",4.83,4.770591,0.015456,0.039606,0.004347
"396","""Mar 22""",46,"Andhra Pragathi Grameena Bank",4.78,4.405248,0.065486,0.151526,0.15774
"397","""Mar 22""",47,"Baroda Up Gramin Bank",4.3,3.07579,0.21328,0.9374,0.06966
"398","""Mar 22""",48,"Sarva Haryana Gramin Bank",4.14,3.598074,0.025254,0.49266,0.021942
"399","""Mar 22""",49,"Baroda Rajasthan Kshetriya Gramin Bank",4,3.3756,0.0712,0.456,0.0948
"400","""Mar 22""",50,"Karnataka Vikas Grameena Bank",3.56,3.354944,0.055536,0.075116,0.074404
"401","""April 22""",1,"Paytm Payments Bank",1265.52,1262.103096,3.416904,0.126552,0
"402","""April 22""",2,"Yes Bank Ltd",745.77,744.129306,0.372885,0.596616,0.671193
"403","""April 22""",3,"State Bank Of India",741.1,726.64855,2.2233,9.04142,3.11262
"404","""April 22""",4,"Axis Bank Ltd",408.62,401.591736,5.10775,0.245172,1.675342
"405","""April 22""",5,"Icici Bank",406.5,401.1342,1.7073,2.2764,1.3821
"406","""April 22""",6,"Hdfc Bank Ltd",278.39,274.631735,2.22712,1.085721,0.445424
"407","""April 22""",7,"Bank Of Baroda",194.47,193.400415,0.661198,0.19447,0.213917
"408","""April 22""",8,"Union Bank Of India",187.25,186.369925,0.543025,0.131075,0.2247
"409","""April 22""",9,"Canara Bank",142.04,139.41226,0.767016,0.767016,1.093708
"410","""April 22""",10,"Punjab National Bank",137.97,136.576503,0.731241,0.496692,0.165564
"411","""April 22""",11,"Kotak Mahindra Bank",133.77,130.706667,0.80262,0.963144,1.297569
"412","""April 22""",12,"Bank Of India",113.71,112.993627,0.34113,0.170565,0.204678
"413","""April 22""",13,"Federal Bank",110.35,110.06309,0.15449,0.08828,0.033105
"414","""April 22""",14,"Indian Bank",73.01,71.089837,1.117053,0.36505,0.43806
"415","""April 22""",15,"Central Bank Of India",59.29,58.157561,0.343882,0.361669,0.426888
"416","""April 22""",16,"Airtel Payments Bank",58.17,57.565032,0.302484,0.197778,0.104706
"417","""April 22""",17,"Indusind Bank",56.25,55.648125,0.264375,0.061875,0.275625
"418","""April 22""",18,"Idbi Bank Limited",44.19,43.650882,0.322587,0.141408,0.079542
"419","""April 22""",19,"Indian Overseas Bank",40.13,39.740739,0.144468,0.08026,0.16052
"420","""April 22""",20,"Bank Of Maharashtra",35.08,34.7292,0.091208,0.147336,0.112256
"421","""April 22""",21,"Uco Bank",34.95,34.624965,0.1398,0.08388,0.09786
"422","""April 22""",22,"India Post Payment Bank",31.26,30.75984,0.184434,0.256332,0.06252
"423","""April 22""",23,"Karnataka Bank",28.15,27.45188,0.222385,0.312465,0.16327
"424","""April 22""",24,"Karur Vysya Bank",22.17,22.074669,0.079812,0.006651,0.006651
"425","""April 22""",25,"Idfc First Bank",21.27,20.910537,0.187176,0.10635,0.068064
"426","""April 22""",26,"South Indian Bank",16.25,16.159,0.052,0.0325,0.004875
"427","""April 22""",27,"Bandhan Bank",16.07,15.401488,0.088385,0.554415,0.024105
"428","""April 22""",28,"Fino Payments Bank",12.77,12.034448,0.324358,0.393316,0.016601
"429","""April 22""",29,"Citibank",12.75,12.667125,0.06885,0.014025,0.001275
"430","""April 22""",30,"Au Small Finance Bank",12.43,12.137895,0.277189,0.004972,0.011187
"431","""April 22""",31,"City Union Bank",10.72,10.59672,0.084688,0.033232,0.004288
"432","""April 22""",32,"Dbs Bank India Limited",9.27,9.127242,0.115875,0.017613,0.008343
"433","""April 22""",33,"Tamilnad Mercantile Bank",8.99,8.929767,0.033263,0.018879,0.008091
"434","""April 22""",34,"Ujjivan Small Finance Bank",8.75,8.5085,0.028,0.182,0.030625
"435","""April 22""",35,"Equitas Small Finance Bank",8.53,8.418257,0.083594,0.02559,0.002559
"436","""April 22""",36,"Pragathi Krishna Gramin Bank",7.73,7.617915,0.020098,0.027828,0.063386
"437","""April 22""",37,"Andhra Pradesh Grameena Vikas Bank",7.2,7.01352,0.01296,0.12312,0.0504
"438","""April 22""",38,"Punjab And Sind Bank",6.93,6.841296,0.023562,0.046431,0.018711
"439","""April 22""",39,"Maharashtra Gramin Bank",6.41,6.113217,0.023076,0.229478,0.044229
"440","""April 22""",40,"Kerala Gramin Bank",5.6,5.56528,0.01624,0.00672,0.01176
"441","""April 22""",41,"Jammu And Kashmir Bank",5.59,5.32168,0.094471,0.163787,0.010621
"442","""April 22""",42,"Saraswat Bank",5.46,5.412498,0.011466,0.032214,0.003822
"443","""April 22""",43,"Rbl Bank",5.02,4.779542,0.214856,0.017068,0.008534
"444","""April 22""",44,"Andhra Pragathi Grameena Bank",4.83,4.391436,0.021735,0.294147,0.122199
"445","""April 22""",45,"Esaf Small Finance Bank Ltd.",4.82,4.76698,0.013496,0.037596,0.001446
"446","""April 22""",46,"Rajasthan Marudhara Gramin Bank",4.72,4.072416,0.142544,0.355888,0.149152
"447","""April 22""",47,"Sarva Haryana Gramin Bank",4.16,3.580096,0.018304,0.49504,0.063648
"448","""April 22""",48,"Baroda Up Gramin Bank",4.03,3.281629,0.287742,0.45136,0.009269
"449","""April 22""",49,"Baroda Rajasthan Kshetriya Gramin Bank",3.73,3.520374,0.08206,0.115257,0.012682
"450","""April 22""",50,"Karnataka Vikas Grameena Bank",3.55,3.29298,0.09017,0.137385,0.029465
"451","""May 22""",1,"Paytm Payments Bank",1363.19,1358.418835,4.771165,0.136319,0
"452","""May 22""",2,"Yes Bank Ltd",811.13,810.481096,0.324452,0.243339,0.081113
"453","""May 22""",3,"State Bank Of India",771.93,759.193155,2.238597,8.722809,1.775439
"454","""May 22""",4,"Axis Bank Ltd",450.07,448.944825,0.765119,0.225035,0.135021
"455","""May 22""",5,"Icici Bank",432,429.4944,1.7712,0.3888,0.3456
"456","""May 22""",6,"Hdfc Bank Ltd",299.84,297.14144,2.368736,0.209888,0.119936
"457","""May 22""",7,"Bank Of Baroda",204.05,202.66246,0.69377,0.32648,0.387695
"458","""May 22""",8,"Union Bank Of India",197.66,196.592636,0.69181,0.256958,0.118596
"459","""May 22""",9,"Canara Bank",146.64,141.595584,0.7332,3.636672,0.65988
"460","""May 22""",10,"Punjab National Bank",144.15,142.16073,0.706335,0.92256,0.34596
"461","""May 22""",11,"Kotak Mahindra Bank",127.46,125.191212,0.675538,0.968696,0.624554
"462","""May 22""",12,"Bank Of India",118.62,118.062486,0.332136,0.17793,0.047448
"463","""May 22""",13,"Federal Bank",118,116.997,0.2242,0.7316,0.059
"464","""May 22""",14,"Indian Bank",77.67,76.932135,0.240777,0.326214,0.170874
"465","""May 22""",15,"Indusind Bank",65.03,64.386203,0.240611,0.312144,0.091042
"466","""May 22""",16,"Airtel Payments Bank",64.05,63.17892,0.236985,0.49959,0.134505
"467","""May 22""",17,"Central Bank Of India",61.92,60.563952,0.359136,0.724464,0.272448
"468","""May 22""",18,"Idbi Bank Limited",46.38,45.744594,0.538008,0.078846,0.018552
"469","""May 22""",19,"Indian Overseas Bank",42.9,42.71124,0.15015,0.00858,0.03003
"470","""May 22""",20,"Uco Bank",37.05,36.42015,0.19266,0.32604,0.11115
"471","""May 22""",21,"Bank Of Maharashtra",36.7,36.34034,0.09542,0.15414,0.1101
"472","""May 22""",22,"India Post Payment Bank",34.53,33.939537,0.203727,0.317676,0.06906
"473","""May 22""",23,"Karnataka Bank",29.4,27.78888,0.19992,1.11132,0.29988
"474","""May 22""",24,"Karur Vysya Bank",23.22,23.066748,0.08127,0.062694,0.009288
"475","""May 22""",25,"Idfc First Bank",22.98,22.214766,0.24129,0.399852,0.124092
"476","""May 22""",26,"South Indian Bank",17.22,16.739562,0.06888,0.401226,0.010332
"477","""May 22""",27,"Bandhan Bank",16.78,16.353788,0.087256,0.315464,0.023492
"478","""May 22""",28,"Fino Payments Bank",13.92,13.257408,0.332688,0.304848,0.025056
"479","""May 22""",29,"Au Small Finance Bank",13,12.6698,0.2444,0.0624,0.0247
"480","""May 22""",30,"Citibank",12.03,11.938572,0.068571,0.02406,0
"481","""May 22""",31,"City Union Bank",11.37,11.213094,0.087549,0.061398,0.007959
"482","""May 22""",32,"Tamilnad Mercantile Bank",9.61,9.486992,0.024986,0.069192,0.027869
"483","""May 22""",33,"Equitas Small Finance Bank",9.41,9.216154,0.121389,0.060224,0.012233
"484","""May 22""",34,"Ujjivan Small Finance Bank",9.4,8.86608,0.02914,0.42676,0.07802
"485","""May 22""",35,"Pragathi Krishna Gramin Bank",8.2,7.8474,0.02542,0.23944,0.08774
"486","""May 22""",36,"Andhra Pradesh Grameena Vikas Bank",7.55,7.04868,0.012835,0.41223,0.076255
"487","""May 22""",37,"Punjab And Sind Bank",7.54,7.493252,0.023374,0.018096,0.005278
"488","""May 22""",38,"Maharashtra Gramin Bank",6.84,6.443964,0.059508,0.324216,0.012312
"489","""May 22""",39,"Dbs Bank India Limited",6.59,6.483242,0.100168,0.002636,0.004613
"490","""May 22""",40,"Jammu And Kashmir Bank",6.46,6.144752,0.1292,0.18088,0.005168
"491","""May 22""",41,"Kerala Gramin Bank",5.92,5.780288,0.020128,0.086432,0.033744
"492","""May 22""",42,"Saraswat Bank",5.58,5.500206,0.010602,0.063612,0.00558
"493","""May 22""",43,"Rbl Bank",5.39,5.213208,0.072226,0.099715,0.004851
"494","""May 22""",44,"Esaf Small Finance Bank Ltd.",5.17,5.125021,0.012925,0.028952,0.003102
"495","""May 22""",45,"Rajasthan Marudhara Gramin Bank",5.07,4.615728,0.11154,0.285948,0.056784
"496","""May 22""",46,"Andhra Pragathi Grameena Bank",5.03,4.596414,0.01006,0.310854,0.112672
"497","""May 22""",47,"Sarva Haryana Gramin Bank",4.42,3.822858,0.024752,0.47294,0.09945
"498","""May 22""",48,"Baroda Rajasthan Kshetriya Gramin Bank",4.23,3.564621,0.082062,0.51183,0.070641
"499","""May 22""",49,"Baroda Up Gramin Bank",4.13,3.790927,0.149093,0.180068,0.009499
"500","""May 22""",50,"Standard Chartered",3.61,3.586174,0.013357,0.010469,0.000361
"501","""Jun 22""",1,"Paytm Payments Bank",1370.06,1365.401796,4.384192,0.411018,0
"502","""Jun 22""",2,"State Bank Of India",764.66,733.079542,2.217514,27.833624,1.605786
"503","""Jun 22""",3,"Yes Bank Ltd",731.88,731.14812,0.292752,0.219564,0.219564
"504","""Jun 22""",4,"Axis Bank Ltd",483.14,479.27488,0.72471,2.608956,0.531454
"505","""Jun 22""",5,"Icici Bank",414.15,411.91359,1.698015,0.41415,0.124245
"506","""Jun 22""",6,"Hdfc Bank Ltd",302.98,300.798544,1.999668,0.121192,0.060596
"507","""Jun 22""",7,"Bank Of Baroda",202.6,200.41192,0.74962,0.54702,0.89144
"508","""Jun 22""",8,"Union Bank Of India",197.7,194.87289,0.55356,1.79907,0.47448
"509","""Jun 22""",9,"Canara Bank",148.36,146.831892,0.771472,0.608276,0.14836
"510","""Jun 22""",10,"Punjab National Bank",142.4,140.49184,0.74048,0.86864,0.29904
"511","""Jun 22""",11,"Federal Bank",122.19,121.322451,0.342132,0.513198,0.012219
"512","""Jun 22""",12,"Kotak Mahindra Bank",120.07,118.893314,0.72042,0.276161,0.180105
"513","""Jun 22""",13,"Bank Of India",116.98,116.418496,0.315846,0.210564,0.035094
"514","""Jun 22""",14,"Indian Bank",79.66,79.046618,0.183218,0.3983,0.03983
"515","""Jun 22""",15,"Airtel Payments Bank",66.91,66.013406,0.247567,0.454988,0.194039
"516","""Jun 22""",16,"Indusind Bank",63,62.1432,0.4284,0.2961,0.1323
"517","""Jun 22""",17,"Central Bank Of India",59.63,56.678315,0.405484,2.009531,0.53667
"518","""Jun 22""",18,"Idbi Bank Limited",45.27,44.776557,0.289728,0.172026,0.036216
"519","""Jun 22""",19,"Indian Overseas Bank",43.21,42.786542,0.12963,0.142593,0.146914
"520","""Jun 22""",20,"Uco Bank",37.03,36.630076,0.177744,0.14812,0.07406
"521","""Jun 22""",21,"Bank Of Maharashtra",35.99,35.468145,0.089975,0.334707,0.097173
"522","""Jun 22""",22,"India Post Payment Bank",34.23,31.638789,0.201957,2.248911,0.140343
"523","""Jun 22""",23,"Karnataka Bank",28.66,26.321344,0.169094,1.745394,0.424168
"524","""Jun 22""",24,"Idfc First Bank",25.28,24.127232,0.361504,0.659808,0.128928
"525","""Jun 22""",25,"Karur Vysya Bank",23.1,22.71423,0.07854,0.29799,0.00924
"526","""Jun 22""",26,"South Indian Bank",17.51,17.266611,0.071791,0.166345,0.003502
"527","""Jun 22""",27,"Bandhan Bank",16.73,16.435552,0.085323,0.187376,0.020076
"528","""Jun 22""",28,"Fino Payments Bank",13.59,12.771882,0.319365,0.460701,0.038052
"529","""Jun 22""",29,"Au Small Finance Bank",12.92,12.64222,0.204136,0.056848,0.016796
"530","""Jun 22""",30,"Citibank",12.15,12.06252,0.06075,0.02673,0
"531","""Jun 22""",31,"City Union Bank",11.47,11.281892,0.083731,0.102083,0.002294
"532","""Jun 22""",32,"Equitas Small Finance Bank",9.94,9.21935,0.30814,0.376726,0.035784
"533","""Jun 22""",33,"Tamilnad Mercantile Bank",9.88,9.831588,0.023712,0.01482,0.00988
"534","""Jun 22""",34,"Ujjivan Small Finance Bank",9.41,8.336319,0.027289,0.911829,0.134563
"535","""Jun 22""",35,"Pragathi Krishna Gramin Bank",8.27,8.082271,0.026464,0.111645,0.04962
"536","""Jun 22""",36,"Andhra Pradesh Grameena Vikas Bank",7.71,6.186504,0.708549,0.664602,0.150345
"537","""Jun 22""",37,"Punjab And Sind Bank",7.62,7.453122,0.02286,0.13335,0.010668
"538","""Jun 22""",38,"Maharashtra Gramin Bank",6.99,5.94849,0.666846,0.353694,0.02097
"539","""Jun 22""",39,"Dbs Bank India Limited",6.61,6.48441,0.114353,0.007271,0.003966
"540","""Jun 22""",40,"Jammu And Kashmir Bank",6.36,5.8353,0.162816,0.34344,0.018444
"541","""Jun 22""",41,"Kerala Gramin Bank",6.12,6.038604,0.025704,0.037944,0.017748
"542","""Jun 22""",42,"Saraswat Bank",5.52,5.451552,0.009936,0.054648,0.003864
"543","""Jun 22""",43,"Esaf Small Finance Bank Ltd.",5.32,5.202428,0.0133,0.086184,0.018088
"544","""Jun 22""",44,"Rbl Bank",5.22,5.098374,0.075168,0.043326,0.003132
"545","""Jun 22""",45,"Rajasthan Marudhara Gramin Bank",5.21,4.457676,0.256332,0.407943,0.087528
"546","""Jun 22""",46,"Andhra Pragathi Grameena Bank",5.17,4.559423,0.2585,0.272459,0.079101
"547","""Jun 22""",47,"Sarva Haryana Gramin Bank",4.66,3.666954,0.021902,0.91802,0.049862
"548","""Jun 22""",48,"Baroda Up Gramin Bank",4.29,3.78378,0.138996,0.320892,0.046332
"549","""Jun 22""",49,"Baroda Rajasthan Kshetriya Gramin Bank",4,3.5496,0.0804,0.322,0.048
"550","""Jun 22""",50,"Karnataka Vikas Grameena Bank",3.65,3.467135,0.109135,0.07227,0.00146
"551","""July 22""",1,"Paytm Payments Bank",1469.6,1462.10504,7.20104,0.29392,0
"552","""July 22""",2,"Yes Bank Ltd",813.04,812.470872,0.243912,0.162608,0.162608
"553","""July 22""",3,"State Bank Of India",802.56,796.94208,2.247168,2.487936,0.882816
"554","""July 22""",4,"Axis Bank Ltd",498.78,487.208304,5.336946,4.937922,1.24695
"555","""July 22""",5,"Icici Bank",449.31,446.659071,1.752309,0.584103,0.314517
"556","""July 22""",6,"Hdfc Bank Ltd",328.73,326.42889,2.038126,0.197238,0.065746
"557","""July 22""",7,"Bank Of Baroda",214.14,211.184868,0.74949,1.948674,0.278382
"558","""July 22""",8,"Union Bank Of India",206.94,206.050158,0.600126,0.20694,0.082776
"559","""July 22""",9,"Canara Bank",156.6,154.12572,0.79866,1.11186,0.56376
"560","""July 22""",10,"Punjab National Bank",147.86,145.242878,0.768872,1.197666,0.635798
"561","""July 22""",11,"Federal Bank",137.96,137.518528,0.331104,0.096572,0
"562","""July 22""",12,"Kotak Mahindra Bank",131.98,129.195222,0.79188,1.346196,0.646702
"563","""July 22""",13,"Bank Of India",121.89,120.220107,0.304725,1.182333,0.182835
"564","""July 22""",14,"Indian Bank",84.27,83.452581,0.193821,0.50562,0.117978
"565","""July 22""",15,"Airtel Payments Bank",75.84,74.3232,0.318528,0.819072,0.3792
