"","Time","Sl_No.","UPI_Remitter_Bank","Total_Volume","Approved.","BD.","TD.","Total.Debit.Reversal.Count","Debit.Reversal.Success"
"1356","""Nov 23""",6,"Kotak Mahindra Bank",543.5,2799.025,148.919,2.33705,1.34,1.2462
"1357","""Nov 23""",7,"Canara Bank",527.96,2618.6816,145.189,18.373008,2.23,1.6948
"1358","""Nov 23""",8,"Icici Bank",526.2,2662.572,95.2422,6.36702,1.45,1.3195
"1359","""Nov 23""",9,"Axis Bank Ltd",512.13,2524.8009,93.20766,1.280325,1.25,1.1625
"1360","""Nov 23""",10,"Paytm Payments Bank",412,1635.64,60.564,0.1648,0.62,0.6076
"1401","""Dec 23""",1,"State Bank Of India",3073.18,89921.2468,4087.3294,405.65976,12.75,10.67685
"1402","""Dec 23""",2,"Hdfc Bank Ltd",1040.77,10449.3308,372.59566,6.452774,3.63,3.541791
"1403","""Dec 23""",3,"Bank Of Baroda",766.81,5559.3725,289.85418,29.982271,3.3,2.87166
"1404","""Dec 23""",4,"Union Bank Of India",745.87,5273.3009,243.15362,42.216242,5.38,3.209708
"1405","""Dec 23""",5,"Punjab National Bank",607.36,3510.5408,168.84608,6.255808,2.35,2.30159
"1406","""Dec 23""",6,"Kotak Mahindra Bank",588.94,3268.617,176.682,16.961472,2.47,1.690468
"1407","""Dec 23""",7,"Canara Bank",563.67,2993.0877,170.79201,11.724336,2.43,2.098791
"1408","""Dec 23""",8,"Axis Bank Ltd",562.18,3047.0156,112.436,0.28109,1.67,1.46459
"1409","""Dec 23""",9,"Icici Bank",556.61,2983.4296,101.30302,10.185963,2.06,1.701354
"1410","""Dec 23""",10,"Paytm Payments Bank",410.19,1620.2505,60.70812,0,0.79,0.770645
"1451","""Jan 24""",1,"State Bank Of India",3128.97,93587.4927,4098.9507,185.860818,11.58,11.21523
"1452","""Jan 24""",2,"Hdfc Bank Ltd",1040.25,10433.7075,379.69125,0,3.34,3.301256
"1453","""Jan 24""",3,"Bank Of Baroda",781.72,5815.9968,285.3278,2.423332,2.71,2.670434
"1454","""Jan 24""",4,"Union Bank Of India",753.66,5366.0592,246.44682,65.266956,7.16,3.348016
"1455","""Jan 24""",5,"Punjab National Bank",618.95,3627.047,189.3987,10.336465,2.61,2.311938
"1456","""Jan 24""",6,"Kotak Mahindra Bank",600.83,3376.6646,186.85813,42.178266,2.08,1.861392
"1457","""Jan 24""",7,"Canara Bank",572.16,3078.2208,175.65312,14.361216,3.02,2.596596
"1458","""Jan 24""",8,"Axis Bank Ltd",559.49,3004.4613,111.898,9.343483,2.66,1.601586
"1459","""Jan 24""",9,"Icici Bank",547.55,2891.064,99.10655,2.354465,1.64,1.569808
"1460","""Jan 24""",10,"Paytm Payments Bank",410.06,1615.6364,61.91906,0.164024,0.87,0.853557
